incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,home.damage,comm.destroyed,comm.threat,comm.damage,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
"AK-SWS-304139|2013|1",2013,,AK-SWS-304139,Takotna River,6,23,174,2013,5,31,151,8.19084464,4326,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3353929.93661523|3813801.71528878
"AK-SWS-304140|2013|1",2013,,AK-SWS-304140,Moore Creek,8,30,241,2013,6,2,153,648.9342353,370000,0,0,9,0,0,15,0,25,0,171,0,2,Lightning,H,-3311298.08713272|3775503.36338024
"AK-SWS-304143|2013|1",2013,,AK-SWS-304143,Gold Mine,6,24,175,2013,5,31,151,2.630459,388482,0,0,0,0,0,0,0,48,0,312,0,2,Lightning,H,-3323166.82278251|3837851.94898488
"AK-SWS-304144|2013|1",2013,,AK-SWS-304144,Lime Hills,8,30,241,2013,5,31,151,1073.94356622,2900000,0,0,30,0,0,0,0,86,0,1142,0,3,Lightning,H,-3367173.61460112|3685524.23834885
"AK-SWS-304157|2013|1",2013,,AK-SWS-304157,Julie Creek,6,24,175,2013,6,1,152,2.8530363,202725,0,0,0,0,0,0,0,32,0,102,0,1,Lightning,H,-3424831.14108001|3861451.17989748
"AK-SWS-304275|2013|1",2013,,AK-SWS-304275,Kristin Creek,7,30,204,2013,6,18,169,81.07479324,177619,0,0,2,0,0,0,0,12,0,60,0,2,Lightning,H,-3316960.00445915|3599483.38592805
"AK-SWS-304287|2013|1",2013,,AK-SWS-304287,Jungjuk,6,24,175,2013,6,19,170,0.03237488,49370,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3470331.49358261|3802134.22235263
"AK-SWS-304288|2013|1",2013,,AK-SWS-304288,Qguohaydok,6,28,179,2013,6,19,170,0.3642174,877424,0,0,1,0,0,0,0,59,0,377,0,3,Lightning,H,-3471987.25544178|3805364.42135671
"AK-SWS-304289|2013|1",2013,,AK-SWS-304289,Village Creek,6,30,181,2013,6,19,170,0.5260918,656991,0,0,0,0,0,0,0,50,0,272,0,3,Lightning,H,-3473242.09709746|3807119.69385912
"AK-SWS-304361|2013|1",2013,,AK-SWS-304361,Moose Creek,6,29,180,2013,6,22,173,0.07689034,169768,0,0,0,0,0,0,0,22,0,125,0,1,Lightning,H,-3383372.64029116|3744229.91063211
"AK-SWS-304379|2013|1",2013,,AK-SWS-304379,Von Frank,7,28,199,2013,6,24,175,1.61065028,6800,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3185802.236129|3802928.03803437
"AK-SWS-304437|2013|1",2013,,AK-SWS-304437,Currant Creek,8,30,240,2013,6,27,178,688.10379324,2e+05,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3347060.00722452|3527335.36418403
"AK-SWS-304443|2013|1",2013,,AK-SWS-304443,Hoholitna,7,30,204,2013,6,26,177,66.553040816,751682,0,0,3,0,0,9,0,37,0,138,0,3,Lightning,H,-3425400.31198364|3728338.57650085
"AK-SWS-304591|2013|1",2013,,AK-SWS-304591,Can Creek,8,31,240,2013,7,28,209,27.029382626,730205,0,0,28,0,0,0,0,43,0,298,0,2,Lightning,H,-3354898.43507873|3655483.27118771
"AK-SWS-304596|2013|1",2013,,AK-SWS-304596,Whitefish Lake,8,29,241,2013,7,28,209,17.81023086,6266,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3359896.87155502|3622988.06300373
"AK-SWS-304597|2013|1",2013,,AK-SWS-304597,Mulchatna River,8,15,227,2013,7,28,209,0.7891377,5968,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3379873.33731806|3606623.98638392
"AK-SWS-304599|2013|1",2013,,AK-SWS-304599,Nuyakuk River,8,15,227,2013,7,28,209,7.86304898,7000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3546754.92690115|3638471.19522005
"AK-SWS-304617|2013|1",2013,,AK-SWS-304617,Gagaryah 2,8,15,227,2013,7,30,211,19.15378838,3231,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3339417.82614632|3687886.05078648
"AK-TAD-000149|2013|1",2013,,AK-TAD-000149,North Swift Fork,6,11,162,2013,6,1,152,3.214825584,5441.4,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3108545.64038983|3688874.84570057
"AK-TAD-000308|2013|1",2013,,AK-TAD-000308,Big Salt,7,27,207,2013,6,20,171,15.476002012,5000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2898932.28092176|3868262.69954586
"AK-TAD-000315|2013|1",2013,,AK-TAD-000315,Ray River 2,8,28,240,2013,6,20,171,88.414987908,2500,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2885904.53766906|3886832.42316018
"AK-TAD-000319|2013|1",2013,,AK-TAD-000319,Kanuti River 1,7,27,208,2013,6,24,175,7.379044524,1000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2879053.52026887|3910772.04199686
"AK-TAD-000328|2013|1",2013,,AK-TAD-000328,Timber Creek,8,28,240,2013,6,20,171,13.2534665,19186,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2874708.17822195|4000757.67815628
"AK-TAD-000332|2013|1",2013,,AK-TAD-000332,Prospect Creek,9,28,246,2013,6,20,171,259.31671851,98377,0,0,0,0,0,0,0,2,0,4,0,1,Lightning,H,-2856166.63783594|3945364.92523815
"AK-TAD-000342|2013|1",2013,,AK-TAD-000342,Sulatna River,8,28,240,2013,6,21,172,192.58197368,7000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3139716.39504254|3882812.51767003
"AK-TAD-000348|2013|1",2013,,AK-TAD-000348,Siruk Creek,7,27,208,2013,6,21,172,82.40621018,1500,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2982729.46734141|4023767.45054894
"AK-TAD-000350|2013|1",2013,,AK-TAD-000350,Bear Creek,8,28,240,2013,6,21,172,17.6847782,6000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3020529.57440082|3715210.34246054
"AK-TAD-000359|2013|1",2013,,AK-TAD-000359,Moving River,9,30,246,2013,6,22,173,143.28717202,763000,0,0,0,0,0,0,0,4,0,12,0,2,Lightning,H,-3022382.11329782|3735225.9151826
"AK-TAD-000360|2013|1",2013,,AK-TAD-000360,Beaver Log Lakes,8,30,240,2013,6,22,173,261.01842314,1847258,0,0,30,0,0,12,0,146,0,1859,0,4,Lightning,H,-3056320.54794431|3771231.50566777
"AK-TAD-000376|2013|1",2013,,AK-TAD-000376,Dead Fish Lake,8,30,240,2013,6,24,175,24.71417402,3500,0,0,1,0,0,0,0,0,0,0,0,0,Lightning,H,-3023084.47512351|3757167.60233681
"AK-TAD-000394|2013|1",2013,,AK-TAD-000394,Sandless Lake,9,28,246,2013,6,25,176,252.19222148,10000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2982636.74501624|3718379.72740133
"AK-TAD-000429|2013|1",2013,,AK-TAD-000429,Toklat River East,8,28,240,2013,6,26,177,134.67545394,125769,0,0,0,0,0,0,0,4,0,4,0,1,Lightning,H,-2974039.02196701|3680172.3981608
"AK-TAD-000430|2013|1",2013,,AK-TAD-000430,Wigand Creek,7,26,207,2013,6,26,177,4.81981026,2000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2968920.34761825|3691767.94069626
"AK-TAD-000454|2013|1",2013,,AK-TAD-000454,Titna,7,27,208,2013,6,27,178,19.96720724,2500,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3081425.84531739|3819717.57153248
"AK-TAD-000466|2013|1",2013,,AK-TAD-000466,McKinley River East,10,28,294,2013,6,28,179,17.974533376,3000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3039415.31324631|3707672.91981847
"AK-TAD-000518|2013|1",2013,,AK-TAD-000518,Castle Rock,9,28,246,2013,7,6,187,49.8775495,5000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3080502.82091188|3724604.39353509
"AK-TAD-000538|2013|1",2013,,AK-TAD-000538,West Fork,8,28,240,2013,7,13,194,9.307778,72034,0,0,0,0,0,0,0,8,0,16,0,1,Lightning,H,-3072963.96269866|3941930.96870644
"AK-TAD-000654|2013|1",2013,,AK-TAD-000654,Chitanana,9,28,246,2013,8,3,215,12.4440945,5000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3034788.5292352|3827971.00405846
"AK-TAD-00377|2013|1",2013,,AK-TAD-00377,Little Mud,9,28,246,2013,6,24,175,122.819368198,50068,0,0,1,0,0,0,0,4,0,8,0,2,Lightning,H,-3118003.05537461|3880797.68650047
"AK-TAS-313137|2013|1",2013,,AK-TAS-313137,Bitter Creek,6,31,162,2013,5,31,151,9.307778,2e+06,0,0,9,0,0,0,0,173,0,1904,0,6,Lightning,H,-2586818.18211871|3397128.85930507
"AK-TAS-313145|2013|1",2013,,AK-TAS-313145,Chisana River,10,29,296,2013,5,31,151,190.20242,2250000,0,0,0,0,0,0,0,29,0,218,0,5,Lightning,H,-2543643.44699113|3410803.24199128
"AK-TAS-313357|2013|1",2013,,AK-TAS-313357,Billy Creek,9,29,269,2013,6,22,173,54.15912738,10000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2646743.12932224|3502671.15961261
"AK-TAS-313401|2013|1",2013,,AK-TAS-313401,Moon Lake,9,31,269,2013,6,25,176,105.69184262,7125494,0,0,0,0,0,1,0,390,0,8844,0,10,Lightning,H,-2664776.75849017|3466537.45329197
"AK-TAS-313414|2013|1",2013,,AK-TAS-313414,Tetlin Jct. Ridge,10,31,295,2013,6,25,176,103.19493,30938737,0,0,0,0,0,0,0,274,0,3482,0,9,Lightning,H,-2606848.75388534|3419756.79895007
"AK-TAS-313449|2013|1",2013,,AK-TAS-313449,Big Timber Creek,9,29,269,2013,6,27,178,34.87179262,50000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2546929.1943565|3439912.73108237
"AK-TAS-313486|2013|1",2013,,AK-TAS-313486,Ladue Fork,9,29,269,2013,6,25,176,34.87179262,20000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2553955.7695071|3404802.69579984
"AK-UYD-000197|2013|1",2013,,AK-UYD-000197,Beaver Meadow,6,12,163,2013,6,8,159,0.114121452,405000,0,0,8,0,0,0,0,35,0,154,0,1,Human,H,-2593670.69865794|3760814.2841479
"AK-UYD-000245|2013|1",2013,,AK-UYD-000245,North Fork Chandalar,6,20,171,2013,6,16,167,0.1416401,491073,0,0,0,0,0,0,0,35,0,136,0,1,Human,H,-2630430.8187032|3825576.20299444
"AK-UYD-000280|2013|1",2013,,AK-UYD-000280,Stuart Creek #2,6,26,177,2013,6,25,176,1.618744,5e+05,0,0,0,0,0,0,0,8,0,10,0,2,Human,H,-2744220.92496333|3649690.85346024
"AK-UYD-000299|2013|1",2013,,AK-UYD-000299,Otter Creek,7,30,211,2013,6,20,171,0.6474976,310000,0,0,0,0,0,0,0,24,0,67,0,1,Lightning,H,-2604612.06571632|3858583.1081074
"AK-UYD-000302|2013|1",2013,,AK-UYD-000302,Timber Creek,7,27,192,2013,6,20,171,0.433823392,132284,0,0,0,0,0,0,0,19,0,38,0,1,Lightning,H,-2575184.62074183|3839910.3585503
"AK-UYD-000310|2013|1",2013,,AK-UYD-000310,Nation River,8,28,240,2013,6,20,171,52.60918,20000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2467729.83697913|3570664.59669145
"AK-UYD-000370|2013|1",2013,,AK-UYD-000370,Chandalar,8,28,240,2013,6,23,174,62.840856138,20000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2677276.55564883|3857389.14614435
"AK-UYD-000378|2013|1",2013,,AK-UYD-000378,Three Lakes,7,27,194,2013,6,24,175,0.01214058,93125,0,0,0,0,0,0,0,11,0,43,0,2,Lightning,H,-2640295.47473442|3747840.36151826
"AK-UYD-000462|2013|1",2013,,AK-UYD-000462,Shoulder Mountain,7,28,205,2013,6,28,179,1.011715,90000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2462065.44000338|3817631.15725625
"AK-UYD-000469|2013|1",2013,,AK-UYD-000469,North Porcupine,8,30,240,2013,6,29,180,95.36830276,5e+05,0,0,17,0,0,0,0,26,0,80,0,2,Lightning,H,-2420985.07295308|3728329.03815096
"AK-UYD-000475|2013|1",2013,,AK-UYD-000475,Joint Lake,8,25,232,2013,6,29,180,17.6847782,228541,0,0,0,0,0,0,0,48,0,351,0,3,Lightning,H,-2572081.64371525|3814494.63191853
"AK-UYD-000495|2013|1",2013,,AK-UYD-000495,DISCOVERY CREEK,8,28,240,2013,7,1,182,54.526582268,105603,0,0,0,0,0,0,0,4,0,4,0,1,Lightning,H,-2647373.38159867|3728292.50541438
"AK-UYD-000498|2013|1",2013,,AK-UYD-000498,Bull Creek #2,7,24,205,2013,7,2,183,2.52524064,10500,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2436371.0191489|3611253.9758728
"AK-UYD-000506|2013|1",2013,,AK-UYD-000506,Birch Creek,8,25,234,2013,7,3,184,107.21750884,2400000,0,0,60,0,0,12,0,233,0,2906,0,7,Lightning,H,-2562129.02850323|3722730.77929802
"AK-UYD-000550|2013|1",2013,,AK-UYD-000550,Koness,7,24,205,2013,7,15,196,5.755848978,2000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2484464.07969741|3841842.67839062
"AK-UYD-000551|2013|1",2013,,AK-UYD-000551,Big Fish Lake,7,24,205,2013,7,15,196,4.307477784,23611,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2481320.47546996|3840100.89777051
"AK-UYD-000588|2013|1",2013,,AK-UYD-000588,Twin Lakes,8,31,218,2013,7,27,208,0.20638986,379988,0,0,0,0,0,0,0,42,0,230,0,1,Lightning,H,-2712665.36544619|3792431.20291608
"AK-UYD-000652|2013|1",2013,,AK-UYD-000652,Beaverdam Lake,8,10,222,2013,8,3,215,0.07284348,129877,0,0,0,0,0,0,0,22,0,154,0,1,Lightning,H,-2735672.67133773|3803030.21302472
"AK-UYD-000661|2013|1",2013,,AK-UYD-000661,Crater Creek,8,18,230,2013,8,4,216,6.61256924,1790216,0,0,0,0,0,0,0,121,0,1222,0,3,Human,H,-2655600.60798272|3853504.06693861
"AK-UYD-326|2013|1",2013,,AK-UYD-326,Marten Creek,7,27,192,2013,6,20,171,3.04323872,523000,0,0,0,0,0,0,0,41,0,159,0,1,Lightning,H,-2581187.22402058|3837508.05620289
"AL-ALS-0001|2002|1",2002,AL,AL-ALS-0001,YTD mid-june,6,25,176,2002,6,25,176,0,0,0,23,829,0,0,0,0,0,0,0,0,0,Human,NF,10407017.3121425|1788439.90598378
